timestamp,open,high,low,close,volume
2025-12-01T00:00:00+00:00,35000.00,35003.00,34987.00,34990.00,1.500000
2025-12-01T00:05:00+00:00,34990.00,34993.00,34979.00,34982.00,1.600000
2025-12-01T00:10:00+00:00,34982.00,34985.00,34973.00,34976.00,1.700000
2025-12-01T00:15:00+00:00,34976.00,34979.00,34969.00,34972.00,1.800000
2025-12-01T00:20:00+00:00,34972.00,34975.00,34967.00,34970.00,1.900000
2025-12-01T00:25:00+00:00,34970.00,34973.00,34967.00,34970.00,2.000000
2025-12-01T00:30:00+00:00,34970.00,34975.00,34967.00,34972.00,2.100000
2025-12-01T00:35:00+00:00,34972.00,34979.00,34969.00,34976.00,1.500000
2025-12-01T00:40:00+00:00,34976.00,34985.00,34973.00,34982.00,1.600000
2025-12-01T00:45:00+00:00,34982.00,34993.00,34979.00,34990.00,1.700000
2025-12-01T00:50:00+00:00,34990.00,34993.00,34977.00,34980.00,1.800000
2025-12-01T00:55:00+00:00,34980.00,34983.00,34969.00,34972.00,1.900000
2025-12-01T01:00:00+00:00,34972.00,34975.00,34963.00,34966.00,2.000000
2025-12-01T01:05:00+00:00,34966.00,34969.00,34959.00,34962.00,2.100000
2025-12-01T01:10:00+00:00,34962.00,34965.00,34957.00,34960.00,1.500000
2025-12-01T01:15:00+00:00,34960.00,34963.00,34957.00,34960.00,1.600000
2025-12-01T01:20:00+00:00,34960.00,34965.00,34957.00,34962.00,1.700000
2025-12-01T01:25:00+00:00,34962.00,34969.00,34959.00,34966.00,1.800000
2025-12-01T01:30:00+00:00,34966.00,34975.00,34963.00,34972.00,1.900000
2025-12-01T01:35:00+00:00,34972.00,34983.00,34969.00,34980.00,2.000000
2025-12-01T01:40:00+00:00,34980.00,34983.00,34967.00,34970.00,2.100000
2025-12-01T01:45:00+00:00,34970.00,34973.00,34959.00,34962.00,1.500000
2025-12-01T01:50:00+00:00,34962.00,34965.00,34953.00,34956.00,1.600000
2025-12-01T01:55:00+00:00,34956.00,34959.00,34949.00,34952.00,1.700000
2025-12-01T02:00:00+00:00,34952.00,34955.00,34947.00,34950.00,1.800000
2025-12-01T02:05:00+00:00,34950.00,34953.00,34947.00,34950.00,1.900000
2025-12-01T02:10:00+00:00,34950.00,34955.00,34947.00,34952.00,2.000000
2025-12-01T02:15:00+00:00,34952.00,34959.00,34949.00,34956.00,2.100000
2025-12-01T02:20:00+00:00,34956.00,34965.00,34953.00,34962.00,1.500000
2025-12-01T02:25:00+00:00,34962.00,34973.00,34959.00,34970.00,1.600000
2025-12-01T02:30:00+00:00,34970.00,34973.00,34957.00,34960.00,1.700000
2025-12-01T02:35:00+00:00,34960.00,34963.00,34949.00,34952.00,1.800000
2025-12-01T02:40:00+00:00,34952.00,34955.00,34943.00,34946.00,1.900000
2025-12-01T02:45:00+00:00,34946.00,34949.00,34939.00,34942.00,2.000000
2025-12-01T02:50:00+00:00,34942.00,34945.00,34937.00,34940.00,2.100000
2025-12-01T02:55:00+00:00,34940.00,34943.00,34937.00,34940.00,1.500000
2025-12-01T03:00:00+00:00,34940.00,34945.00,34937.00,34942.00,1.600000
2025-12-01T03:05:00+00:00,34942.00,34949.00,34939.00,34946.00,1.700000
2025-12-01T03:10:00+00:00,34946.00,34955.00,34943.00,34952.00,1.800000
2025-12-01T03:15:00+00:00,34952.00,34963.00,34949.00,34960.00,1.900000
2025-12-01T03:20:00+00:00,34960.00,34963.00,34947.00,34950.00,2.000000
2025-12-01T03:25:00+00:00,34950.00,34953.00,34939.00,34942.00,2.100000
2025-12-01T03:30:00+00:00,34942.00,34945.00,34933.00,34936.00,1.500000
2025-12-01T03:35:00+00:00,34936.00,34939.00,34929.00,34932.00,1.600000
2025-12-01T03:40:00+00:00,34932.00,34935.00,34927.00,34930.00,1.700000
2025-12-01T03:45:00+00:00,34930.00,34933.00,34927.00,34930.00,1.800000
2025-12-01T03:50:00+00:00,34930.00,34935.00,34927.00,34932.00,1.900000
2025-12-01T03:55:00+00:00,34932.00,34939.00,34929.00,34936.00,2.000000
2025-12-01T04:00:00+00:00,34936.00,34945.00,34933.00,34942.00,2.100000
2025-12-01T04:05:00+00:00,34942.00,34953.00,34939.00,34950.00,1.500000
2025-12-01T04:10:00+00:00,34950.00,34953.00,34937.00,34940.00,1.600000
2025-12-01T04:15:00+00:00,34940.00,34943.00,34929.00,34932.00,1.700000
2025-12-01T04:20:00+00:00,34932.00,34935.00,34923.00,34926.00,1.800000
2025-12-01T04:25:00+00:00,34926.00,34929.00,34919.00,34922.00,1.900000
2025-12-01T04:30:00+00:00,34922.00,34925.00,34917.00,34920.00,2.000000
2025-12-01T04:35:00+00:00,34920.00,34923.00,34917.00,34920.00,2.100000
2025-12-01T04:40:00+00:00,34920.00,34925.00,34917.00,34922.00,1.500000
2025-12-01T04:45:00+00:00,34922.00,34929.00,34919.00,34926.00,1.600000
2025-12-01T04:50:00+00:00,34926.00,34935.00,34923.00,34932.00,1.700000
2025-12-01T04:55:00+00:00,34932.00,34943.00,34929.00,34940.00,1.800000
2025-12-01T05:00:00+00:00,34940.00,34943.00,34927.00,34930.00,1.900000
2025-12-01T05:05:00+00:00,34930.00,34933.00,34919.00,34922.00,2.000000
2025-12-01T05:10:00+00:00,34922.00,34925.00,34913.00,34916.00,2.100000
2025-12-01T05:15:00+00:00,34916.00,34919.00,34909.00,34912.00,1.500000
2025-12-01T05:20:00+00:00,34912.00,34915.00,34907.00,34910.00,1.600000
2025-12-01T05:25:00+00:00,34910.00,34913.00,34907.00,34910.00,1.700000
2025-12-01T05:30:00+00:00,34910.00,34915.00,34907.00,34912.00,1.800000
2025-12-01T05:35:00+00:00,34912.00,34919.00,34909.00,34916.00,1.900000
2025-12-01T05:40:00+00:00,34916.00,34925.00,34913.00,34922.00,2.000000
2025-12-01T05:45:00+00:00,34922.00,34933.00,34919.00,34930.00,2.100000
2025-12-01T05:50:00+00:00,34930.00,34933.00,34917.00,34920.00,1.500000
2025-12-01T05:55:00+00:00,34920.00,34923.00,34909.00,34912.00,1.600000
2025-12-01T06:00:00+00:00,34912.00,34915.00,34903.00,34906.00,1.700000
2025-12-01T06:05:00+00:00,34906.00,34909.00,34899.00,34902.00,1.800000
2025-12-01T06:10:00+00:00,34902.00,34905.00,34897.00,34900.00,1.900000
2025-12-01T06:15:00+00:00,34900.00,34903.00,34897.00,34900.00,2.000000
2025-12-01T06:20:00+00:00,34900.00,34905.00,34897.00,34902.00,2.100000
2025-12-01T06:25:00+00:00,34902.00,34909.00,34899.00,34906.00,1.500000
2025-12-01T06:30:00+00:00,34906.00,34915.00,34903.00,34912.00,1.600000
2025-12-01T06:35:00+00:00,34912.00,34923.00,34909.00,34920.00,1.700000
2025-12-01T06:40:00+00:00,34920.00,34923.00,34907.00,34910.00,1.800000
2025-12-01T06:45:00+00:00,34910.00,34913.00,34899.00,34902.00,1.900000
2025-12-01T06:50:00+00:00,34902.00,34905.00,34893.00,34896.00,2.000000
2025-12-01T06:55:00+00:00,34896.00,34899.00,34889.00,34892.00,2.100000
2025-12-01T07:00:00+00:00,34892.00,34895.00,34887.00,34890.00,1.500000
2025-12-01T07:05:00+00:00,34890.00,34893.00,34887.00,34890.00,1.600000
2025-12-01T07:10:00+00:00,34890.00,34895.00,34887.00,34892.00,1.700000
2025-12-01T07:15:00+00:00,34892.00,34899.00,34889.00,34896.00,1.800000
2025-12-01T07:20:00+00:00,34896.00,34905.00,34893.00,34902.00,1.900000
2025-12-01T07:25:00+00:00,34902.00,34913.00,34899.00,34910.00,2.000000
2025-12-01T07:30:00+00:00,34910.00,34913.00,34897.00,34900.00,2.100000
2025-12-01T07:35:00+00:00,34900.00,34903.00,34889.00,34892.00,1.500000
2025-12-01T07:40:00+00:00,34892.00,34895.00,34883.00,34886.00,1.600000
2025-12-01T07:45:00+00:00,34886.00,34889.00,34879.00,34882.00,1.700000
2025-12-01T07:50:00+00:00,34882.00,34885.00,34877.00,34880.00,1.800000
2025-12-01T07:55:00+00:00,34880.00,34883.00,34877.00,34880.00,1.900000
2025-12-01T08:00:00+00:00,34880.00,34885.00,34877.00,34882.00,2.000000
2025-12-01T08:05:00+00:00,34882.00,34889.00,34879.00,34886.00,2.100000
2025-12-01T08:10:00+00:00,34886.00,34895.00,34883.00,34892.00,1.500000
2025-12-01T08:15:00+00:00,34892.00,34903.00,34889.00,34900.00,1.600000
2025-12-01T08:20:00+00:00,34900.00,34903.00,34887.00,34890.00,1.700000
2025-12-01T08:25:00+00:00,34890.00,34893.00,34879.00,34882.00,1.800000
2025-12-01T08:30:00+00:00,34882.00,34885.00,34873.00,34876.00,1.900000
2025-12-01T08:35:00+00:00,34876.00,34879.00,34869.00,34872.00,2.000000
2025-12-01T08:40:00+00:00,34872.00,34875.00,34867.00,34870.00,2.100000
2025-12-01T08:45:00+00:00,34870.00,34873.00,34867.00,34870.00,1.500000
2025-12-01T08:50:00+00:00,34870.00,34875.00,34867.00,34872.00,1.600000
2025-12-01T08:55:00+00:00,34872.00,34879.00,34869.00,34876.00,1.700000
2025-12-01T09:00:00+00:00,34876.00,34885.00,34873.00,34882.00,1.800000
2025-12-01T09:05:00+00:00,34882.00,34893.00,34879.00,34890.00,1.900000
2025-12-01T09:10:00+00:00,34890.00,34893.00,34877.00,34880.00,2.000000
